"","x"
"1","national federation for constitutional liberties"
"2","american civil liberties union"
"3","association of american railroads"
"4","american newspaper publishers association"
"5","chicago times inc"
"6","field enterprises inc owner and publisher of the chicago sun"
"7","the savings banks association of the state of new york"
"8","ohio real estate association"
"9","zellerbach paper company"
"10","congress of industrial organizations"
"11","national maritime union"
"12","united steelworkers"
"13","united railroad workers of america"
"14","amalgamated clothing workers of america"
"15","international union of minemill and smelter workers"
"16","united packinghouse workers of america"
"17","textile workers union of america"
"18","radio and machine workers of america"
"19","international longshoremen's and warehousemen's union"
"20","united office and professional workers of america"
"21","transport workers union of america"
"22","united furniture workers of america"
"23","american communications association"
"24","united transport service employees of america"
"25","state county and municipal workers of america"
"26","fur and leather workers union"
"27","united farm equipment and metal workers of america"
"28","industrial union marine and shipbuilding workers of america"
"29","american newspaper guild"
"30","united auto workers"
"31","united electrical"
"32","brotherhood of locomotive engineers and trainmen"
"33","brotherhood of railroad trainmen"
"34","order of railway conductors of america"
"35","switchmens union of north america"
"36","workers defense league"
"37","state corporation commission of the state of virginia"
"38","national association of railroad and utilities commissioners"
"39","national association for the advancement of colored people"
"40","southern coal producers association"
"41","american committee for protection of foreign born"
"42","the workers defense league"
"43","investment corporation of philadelphia"
"44","selected american shares inc"
"45","atlantic life insurance co"
"46","american bar association"
"47","maritime law association"
"48","brooks committee of bondholders"
"49","central hanover bank and trust company"
"50","group of institutional investors"
"51","watters committee of bondholders"
"52","the joint conference committee on public relations representing the southern baptist convention"
"53","the northern baptist convention"
"54","the national baptist convention inc"
"55","general conference of seventh day adventists"
"56","national council of catholic men"
"57","national council of catholic women"
"58","railway labor executives association"
"59","national lawyers guild"
"60","carnegie-illinois steel corporation"
"61","columbia steel company"
"62","tennessee coal iron and railroad company"
"63","chrysler corp"
"64","foremens league for education and association"
"65","national association of foremen"
"66","interstate commerce commission"
"67","hawaiian canneries company ltd"
"68","singer manufacturing"
"69","midtown realty owners association inc"
"70","railroad commission of the state of california"
"71","packard motor car company"
"72","us securities and exchange commission"
"73","railroad commission of texas"
"74","american public power association"
"75","bar association of hawaii"
"76","the american warehousemen's association"
"77","the society of insurance brokers"
"78","california association of insurance agents"
"79","california state association of life underwriters inc"
"80","insurance brokers exchange of california"
"81","insurance brokers society of southern california"
"82","surplus line association of california"
"83","johnson and johnson"
"84","transportation communications international union"
"85","the authors league of america"
"86","the curtis publishing company"
"87","the readers digest association inc"
"88","better government association"
"89","american federation of labor"
"90","american legion"
"91","united rubber workers"
"92","oil workers international union"
"93","national foreign trade council"
"94","civil rights defense union of northern california"
"95","american jewish congress"
"96","synagogue council of america"
"97","national community relations advisory council"
"98","american unitarian association"
"99","detroit chapter national lawyers guild"
"100","state bar of michigan"
"101","authors league of america inc"
"102","st louis civil liberties committee"
"103","general electric co"
"104","the american short line railroad"
"105","the council for social action of the congregational christian churches"
"106","the committee on church and race"
"107","executive committee of the general council of congregational christian churches of the us"
"108","the board of home missions of the congregational and christian churches"
"109","non-sectarian anti-nazi league to champion human rights inc"
"110","human relations commission of the protestant council of the city of new york"
"111","the civil liberties department of the grand lodge of elks i b p o e w"
"112","the mount royal protective association inc"
"113","american veterans committee"
"114","american indian citizens league of california inc"
"115","international woodworkers of america"
"116","utility workers union of america"
"117","national union of marine cooks and stewards"
"118","international fishermen and allied workers of america"
"119","united retail wholesale and department store employees of america"
"120","food tobacco agricultural and allied workers of america"
"121","amalgamated lithographers of america"
"122","playthings jewelry and novelty workers international union"
"123","federation of glass ceramic and silica sand workers of america"
"124","united public workers of america"
"125","united automobile aircraft and agricultural implement workers of america"
"126","amalgamated meat cutters and butcher workmen of north america "
"127","united furniture work"
"128","national bar association"
"129","american association for the united nations"
"130","american jewish committee"
"131","jewish war veterans of the united states of america"
"132","anti-defamation league"
"133","jewish labor committee"
"134","arlington heights property owners association"
"135","japanese american citizens league"
"136","the federation of citizens associations of the district of columbia inc"
"137","citizens forum of columbia heights"
"138","the wheel of progress washington dc"
"139","columbia improvement association inc"
"140","conference of independent exhibitors associations"
"141","hercules inc"
"142","e i du pont de nemours and company"
"143","american civil liberties union of northern california"
"144","home missions council of north america"
"145","council for social action and committee of church and race congressional christian churches"
"146","council on christian social progress northern baptist convention"
"147","national association of manufacturers"
"148","waterfront employers association of the pacific coast"
"149","international association of machinists and aerospace workers afl-cio"
"150","the consolidated edison company of new york inc"
"151","employers association of milwaukee"
"152","wisconsin manufacturers association"
"153","the northeast wisconsin industrial association"
"154","the associated industries of oshkosh"
"155","wisconsin state industrial union council"
"156","united brotherhood of carpenters"
"157","capital airlines inc"
"158","american immigration lawyers association"
"159","native village of karluk"
"160","alaska native brotherhood"
"161","national association of american indians"
"162","association on american indian affairs"
"163","rtc no 11 corporation"
"164","smith-douglass company inc"
"165","fall river navigation company"
"166","friends of andrew furueseth legislative association"
"167","seaboard air line railroad company"
"168","council on african affairs inc"
"169","los angeles area council of american veterans committee"
"170","civil rights congress"
"171","national lawyers guild los angeles and beverly hills chapters"
"172","stockard steamship corporation"
"173","waterman steamship corp"
"174","federal communications commission"
"175","national institute of municipal law officers"
"176","riss & co"
"177","committee for a democratic far eastern policy"
"178","new york state bankers association"
"179","the congress of industrial organizations"
"180","michigan state federation of labor"
"181","michigan conference of teamsters"
"182","national labor relations board"
"183","american federation of labor and congress of industrial organizations"
"184","committee of law teachers against segregation in legal education"
"185","american federation of teachers"
"186","irrigation districts association of california"
"187","civil rights committee of the national bar association"
"188","citrin-kolb oil company"
"189","empire state petroleum association inc"
"190","ohio petroleum marketers association inc"
"191","illinois petroleum marketers association"
"192","indiana independent petroleum association inc"
"193","iowa independent oil jobbers association"
"194","wisconsin petroleum association"
"195","south dakota independent oil mens association"
"196","nebraska petroleum marketers inc"
"197","florida independent petroleum marketers association"
"198","pennsylvania petroleum association inc"
"199","virginia petroleum jobbers association"
"200","north carolina oil jobbers association"
"201","national congress of petroleum retailers inc"
"202","retail gasoline dealers association of michigan inc"
"203","michigan petroleum association inc"
"204","united states lines co"
"205","interstate commission on the potomac river basin"
"206","federal power commission"
"207","louisiana state pharmaceutical association"
"208","national association of retail druggists"
"209","bureau of education on fair trade"
"210","wildroot co inc"
"211","yardleys of london inc"
"212","national federation of independent business"
"213","american booksellers association"
"214","american fair trade council"
"215","caron corporation"
"216","chanel incorporated"
"217","charles of the ritz inc"
"218","colgate-palmolive peet inc"
"219","coty inc"
"220","evyan incorporated"
"221","fw fitch inc"
"222","fountain pen and mechanical pencil manufacturers association inc"
"223","guerlin incorporated"
"224","helena rubenstein inc"
"225","houbigant inc"
"226","jean patou inc"
"227","john h breck inc"
"228","lehn and fink products corp"
