amicus,bonica,match
JPMORGAN CHASE BANK NA,jp morgan chase - pac,1
JPMORGAN CHASE BANK NA,"jp morgan & co, inc pac",1
JPMORGAN CHASE BANK NA,jp morgan pac,1
JPMORGAN CHASE BANK NA,"jp morgan chase & co, pac",1
JPMORGAN CHASE BANK NA,jp morgan chase & co state & fed pac,1
JPMORGAN CHASE BANK NA,"pac, jp morgan chase & co",1
JPMORGAN CHASE BANK NA,jp morgan morgan guarantee trust,1
JPMORGAN CHASE BANK NA,jp morgan chase & co,1
JPMORGAN CHASE BANK NA,jp morgan chase,1
JPMORGAN CHASE BANK NA,jp morgan services inc,1
JPMORGAN CHASE BANK NA,jp morgan chase & company,1
JPMORGAN CHASE BANK NA,J P MORGAN CHASE & CO. FUND FOR GOOD GOVERNMENT TEXAS,1
JPMORGAN CHASE BANK NA,jp morgan fleming asset mangement usa inc,1
JPMORGAN CHASE BANK NA,jp morgan chase inc,1
JPMORGAN CHASE BANK NA,"jp morgan chase, pac",1
JPMORGAN CHASE BANK NA,jp morgan chase & co state & federal pac,1
JPMORGAN CHASE BANK NA,chase bank,1
JPMORGAN CHASE BANK NA,BANC ONE POLITICAL ACTION COMMITTEE,1
JPMORGAN CHASE BANK NA,jp morgan chase & co state & federal political act,1
JPMORGAN CHASE BANK NA,jp morgan fleming asset management usa inc,1
JPMORGAN CHASE BANK NA,"jpmorgan chase & co, pac",1
JPMORGAN CHASE BANK NA,jp morgan futures inc,1
JPMORGAN CHASE BANK NA,jp morgan partners llc,1
JPMORGAN CHASE BANK NA,chase,1
JPMORGAN CHASE BANK NA,jp morgan & chase pac,1
JPMORGAN CHASE BANK NA,MORGAN COMPANIES POLITICAL ACTION COMITTEE,1
JPMORGAN CHASE BANK NA,jp morgan fleming asset management holdings inc,1
JPMORGAN CHASE BANK NA,jp morgan chase & comp,1
JPMORGAN CHASE BANK NA,jp morgan chase & co state & fedl pac,1
JPMORGAN CHASE BANK NA,jp morgan chase & co political action committee,1
JPMORGAN CHASE BANK NA,jp morgan chase & copac,1
JPMORGAN CHASE BANK NA,"jp morgan partners, llc",1
JPMORGAN CHASE BANK NA,jp morgan & company pac,1
JPMORGAN CHASE BANK NA,jp morgan chase bank pac,1
JPMORGAN CHASE BANK NA,jp morgan chase & co - pac,1
JPMORGAN CHASE BANK NA,"jp morgan chase & co, state & federal pac",1
JPMORGAN CHASE BANK NA,jp morgan chase & co pac,1
JPMORGAN CHASE BANK NA,jp morgan chace & co pac,1
JPMORGAN CHASE BANK NA,jp morgan chase & costate & federal pac,1
JPMORGAN CHASE BANK NA,jp morgan - chase co pac,1
JPMORGAN CHASE BANK NA,jp morgan trust company of delaware,1
JPMORGAN CHASE BANK NA,jp morgan chase & company pac,1
JPMORGAN CHASE BANK NA,jp morgan chase national corp services inc,1
JPMORGAN CHASE BANK NA,jp morgan chase co state & federal pac,1
JPMORGAN CHASE BANK NA,jpmorgan chase & co state amd federal,1
JPMORGAN CHASE BANK NA,jp morgan & co pac,1
JPMORGAN CHASE BANK NA,j p morgan chase & co,1
JPMORGAN CHASE BANK NA,jp morgan morgan gaurantee trust,1
JPMORGAN CHASE BANK NA,jp morgan chase pac c00003830,1
JPMORGAN CHASE BANK NA,jpmorgan chase &co pac,1
JPMORGAN CHASE BANK NA,jp morgan partners,1
JPMORGAN CHASE BANK NA,"jp morgan chase & co, statefederal pac",1
JPMORGAN CHASE BANK NA,jp morgan business credit corp,1
JPMORGAN CHASE BANK NA,jp morgan chase & co pac colo,1
JPMORGAN CHASE BANK NA,jp morgan state & federal pac,1
JPMORGAN CHASE BANK NA,jp morgan chase state & federal pac,1
JPMORGAN CHASE BANK NA,jp morgan chase & co federal pa,1
JPMORGAN CHASE BANK NA,jpmorgan chase co state & federal pac,1
JPMORGAN CHASE BANK NA,jp morgan & co,1
JPMORGAN CHASE BANK NA,j p morgan chase & co statefederal pac,1
JPMORGAN CHASE BANK NA,jp morgan h & q,1
JPMORGAN CHASE BANK NA,jp morgana chase & co pac,1
JPMORGAN CHASE BANK NA,jpmorgan chase bank,1
JPMORGAN CHASE BANK NA,jpmorgan chase & copac,1
JPMORGAN CHASE BANK NA,jp morgan cahse & co pac,1
JPMORGAN CHASE BANK NA,jp morgan chase statefed pac,1
JPMORGAN CHASE BANK NA,jp morgan investor services co,1
JPMORGAN CHASE BANK NA,"jp morgan, chase & co, pac",1
JPMORGAN CHASE BANK NA,jp morgan chase & co st & fed pac,1
JPMORGAN CHASE BANK NA,jp morgan chase corp,1
JPMORGAN CHASE BANK NA,jp morgan morgan gaurantee trust c,1
JPMORGAN CHASE BANK NA,jp morgan treasury technologies corp,1
JPMORGAN CHASE BANK NA,jp morgan fleming asset management,1
JPMORGAN CHASE BANK NA,jpmorgan chase pac,1
JPMORGAN CHASE BANK NA,jp morgan chase & co federal political action committee pac-,1
JPMORGAN CHASE BANK NA,jp morgan chase co pac,1
JPMORGAN CHASE BANK NA,jp morgan investment management inc,1
JPMORGAN CHASE BANK NA,jp morgan chase & comp pac,1
JPMORGAN CHASE BANK NA,jp morgan chase state & fed pac,1
JPMORGAN CHASE BANK NA,jp morgan chase pac,1
JPMORGAN CHASE BANK NA,jp morgan chase &co pac,1
JPMORGAN CHASE BANK NA,jpmorgan chase & co pac,1
JPMORGAN CHASE BANK NA,j p morgan chase & co pac,1
JPMORGAN CHASE BANK NA,"jp morgan chase& co, state & fed pac",1
JPMORGAN CHASE BANK NA,jp morgan securities,1
JPMORGAN CHASE BANK NA,jp morgan chase & co- pac,1
JPMORGAN CHASE BANK NA,jp morgan,1
JPMORGAN CHASE BANK NA,jp morgan securities inc,1
JPMORGAN CHASE BANK NA,jp morgan chase securities inc conference,1
JPMORGAN CHASE BANK NA,jp morgan property exchange inc,1
JPMORGAN CHASE BANK NA,jp morgan chase national corporate services inc,1
JPMORGAN CHASE BANK NA,jp morgan chase co - pac,1
JPMORGAN CHASE BANK NA,jp morgan trust co of delaware,1
JPMORGAN CHASE BANK NA,jp morgan chase & co pal,1
JPMORGAN CHASE BANK NA,jp morgan chase bank,1
JPMORGAN CHASE BANK NA,jp morgan chase 7 co,1
JPMORGAN CHASE BANK NA,"jp morgan securities, inc",1
INVESTMENT COMPANY INSTITUTE,investment company institute pac,1
INVESTMENT COMPANY INSTITUTE,INVESTMENT MANAGEMENT POLITICAL ACTION CMTE OF THE INVESTMENT COMPANY INSTITUTE IMPAC,1
INVESTMENT COMPANY INSTITUTE,investment company institute,1
INVESTMENT COMPANY INSTITUTE,investment company institute polit,1
MOTION PICTURE ASSOCIATION OF AMERICA,motion picture association of america,1
MOTION PICTURE ASSOCIATION OF AMERICA,motion picture assn,1
MOTION PICTURE ASSOCIATION OF AMERICA,motion picture association of amer,1
MOTION PICTURE ASSOCIATION OF AMERICA,"motion picture association of america, inc",1
MOTION PICTURE ASSOCIATION OF AMERICA,motion picture association pac,1
MOTION PICTURE ASSOCIATION OF AMERICA,MOTION PICTURE ASSOCIATION POLITICAL ACTION COMMITTEE,1
MOTION PICTURE ASSOCIATION OF AMERICA,motion picture association,1
CONSUMER FEDERATION OF AMERICA,CONSUMER FEDERATION OF AMERICA:POLITICAL ACTION COMMITTEE,1
UNITED ELECTRICAL,UNITED ELECTRICAL RADIO AND MACHINE WORKERS OF AMERICA U E LOCAL 1111 PAC,1
INTERNATIONAL COUNCIL OF SHOPPING CENTERS,international council of shopping centers,1
INTERNATIONAL COUNCIL OF SHOPPING CENTERS,INTERNATIONAL COUNCIL OF SHOPPING CENTERS INC POLITICAL ACTION COMMITTEE ICSC PAC,1
INTERNATIONAL COUNCIL OF SHOPPING CENTERS,intl council of shopping centers p,1
NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION,nema,1
NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION,NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION POLITICAL ACTION COMMITTEE NEMA PAC,1
AMERICAN PSYCHIATRIC ASSOCIATION,american psychiatric association,1
AMERICAN PSYCHIATRIC ASSOCIATION,AMERICAN PSYCHIATRIC ASSOCIATION POLITICAL ACTION COMMITTEE,1
NATIONAL ORGANIZATION FOR THE REFORM OF MARIJUANA LAWS,NATIONAL ORGANIZATION FOR THE REFORM OF MARIJUANA LAWS POLITICAL ACTION COMMITTEE,1
CALIFORNIA MEDICAL ASSOCIATION,california medical association pac calpac,1
CALIFORNIA MEDICAL ASSOCIATION,california medical association,1
NATIONAL ASSOCIATION OF SOCIAL WORKERS,national association of social workers new york city,1
NATIONAL ASSOCIATION OF SOCIAL WORKERS,national association of social workers pac,1
NATIONAL ASSOCIATION OF SOCIAL WORKERS,"nasw, nyc pace",1
NATIONAL ASSOCIATION OF SOCIAL WORKERS,nasw nyc chapter pace,1
NATIONAL ASSOCIATION OF SOCIAL WORKERS,nyc pac,1
NATIONAL ASSOCIATION OF SOCIAL WORKERS,national association of social worker pac,1
NATIONAL ASSOCIATION OF SOCIAL WORKERS,national association of social workers,1
NATIONAL ASSOCIATION OF SOCIAL WORKERS,new york city chapter of national association of social workers,1
NATIONAL ASSOCIATION OF SOCIAL WORKERS,nyc pace,1
