,String1,String2,Score
1,liquid transport inc,wright transp inc,0.44843443363191415
3,berley industries inc,bel air distributors inc,0.37390635284486573
5,allegheny cmte for affordable housing,foundation for ca community colleges,0.37498211115659114
7,mccandlish kaine&grant,mcgrath smith & co inc,0.2677682392939253
9,emas tampa inc,s & a telephone company,0.2774846376704133
11,barter exchange television,barnhart & associates,0.29071219718524544
13,allied quick print,liquid transport inc,0.27872509081412083
15,wpa partnership,taub partners llc,0.46383455410014196
17,police benevolent association local 134,deberg & association,0.4201707649269128
19,"frantz 070, peter a","cosper 368, fred",0.21631032225511182
21,"van liew, bradford","van arnem, bridget",0.32819463359623974
23,"benton lll, jess e","simon m aval, esq a professional law corp",0.3138165925677441
25,rainbow star nursery,central park surgery center lp,0.2571976505205835
27,thrifty check advance of mississippi inc,commitee to elect christopher fallon,0.27851560421116256
29,hatchett dewalt & hatchett,lockhart & pettus inc,0.2875936158217066
31,e c otillio llc,pamela e carlson od faao llc,0.3951788888143034
33,brendamour group inc,duprees inc,0.25630638765720404
35,rental stores,brent king custom homes,0.3192443339171122
37,camino real business development ltd,boardwalk development inc,0.49442240040002844
39,john blake for senate,john r sutton & associates pa,0.4347153114245258
41,watts wheel &iveline service,watkins ward & stafford,0.2753889018177774
43,craig food enterprises inc,wallingford eye care center,0.28852927009538964
45,iv care of middle georgia,george teeny revocable trust,0.3722838025488327
47,cates wholesale retail sales,perry manufacturing sales,0.3447637298751133
49,ar blue cross & blue shield,louise & james arnold,0.26743822308437776
51,gogo rocket llc,e c otillio llc,0.32163949218118487
53,mallinak denice,union of american physicians & dentists medical dentists medical action committee,0.28409573805136906
55,kristi lins academy learning express,union of american physicians & dentists medical dentists medical action committee,0.2944019584349379
57,cnc software inc,libca inc,0.2789879335117064
59,george teeny revocable trust,iv care of middle georgia,0.3722838025488327
61,"nc nabb, rex p",mid plaza sixplex town & count,0.23396842474957927
63,friends of marc brown,friends of robert mijac,0.5668175835259165
65,"van arnem, bridget","van liew, bradford",0.32819463359623974
67,barnhart & associates,nzp associates,0.5180286130471491
69,taub partners llc,wpa partnership,0.46383455410014196
71,watkins ward & stafford,wallingford eye care center,0.3663894347322054
73,rhode island education association,deberg & association,0.5214103651013848
75,behemoth corp.,mcgrath smith & co inc,0.28865418569622636
77,knudson for assembly,taxpayers for rodger niello for assembly,0.5224641700685626
79,duprees inc,berley industries inc,0.32797734992079725
81,lockhart & pettus inc,barnhart & associates,0.35300956714059867
83,tfrw iris fund,bia hca texas good government fund,0.2946652345131713
85,deberg & association,rhode island education association,0.5214103651013848
87,aimpac,emas tampa inc,0.2642318481665477
89,kilohana lighting inc,wright transp inc,0.36387056623008146
91,raub law firm,bertain law firm,0.6399102198604942
93,mirander inv,iv care of middle georgia,0.2350127103033905
95,lattice communicatios,foundation for ca community colleges,0.42931839918107767
97,maloneysacy,perry manufacturing sales,0.1944746040233165
99,nzp associates,sangamon associates,0.5442820261377135
101,skyward investments ltd,camino real business development ltd,0.3229506761084526
103,smith galloway lyndall & futch,mcgrath smith & co inc,0.43283009459032257
105,louise & james arnold,j & j mobile home park,0.2718880487943609
107,angell real estate holdings llc,e c otillio llc,0.3364467420168004
109,salt creek ltd,hidden creek l c,0.49541219905625394
111,mcgee oil co,mcgrath smith & co inc,0.3751515005355617
113,sangamon associates,nzp associates,0.5442820261377135
115,cullen carsner seerden & cullen llp,hidden creek l c,0.3058757463173832
117,union of american physicians & dentists medical dentists medical action committee,dairymen of america,0.40492149171649083
119,foundation for ca community colleges,foundation consultants,0.5090479989078119
121,bohannen huston inc,kilohana lighting inc,0.31676615784498496
123,otkm construction inc,foundation consultants,0.34342602995800214
125,virginia rest eqp sup corp,"simon m aval, esq a professional law corp",0.3265799323102505
127,"east texas asphalt co. ltd.,",salt creek ltd,0.3565199780844534
129,hidden creek l c,salt creek ltd,0.49541219905625394
131,19 e van cortlandt associates llc,barnhart & associates,0.43265897553498756
133,central park surgery center lp,wallingford eye care center,0.4204953505144232
135,"tunanidas pantelis, amelia g",pamela e carlson od faao llc,0.26813922301813564
137,big rock trading post partners,taub partners llc,0.4482467446366333
139,j & j mobile home park,john r sutton & associates pa,0.2933686272469376
141,s & a telephone company,commitee to elect christopher fallon,0.3092576797636304
143,glenn m fox insurance,linebarger goggan blair penna & simpson,0.2434473399001784
145,bertain law firm,raub law firm,0.6399102198604942
147,brent king custom homes,rental stores,0.3192443339171122
149,mid plaza sixplex town & count,"simon m aval, esq a professional law corp",0.27037618959076815
151,commitee to elect christopher fallon,union of american physicians & dentists medical dentists medical action committee,0.3472965692868193
153,albion peace community,foundation for ca community colleges,0.5069560150992323
155,"brazeau brown, mary",friends of marc brown,0.4204657614082517
157,"jason & westberg, hilliard",deberg & association,0.33177002106303843
159,"van konynenburg, paul","van arnem, bridget",0.25414593909941036
161,taxpayers for rodger niello for assembly,knudson for assembly,0.5224641700685626
163,savo llc,e c otillio llc,0.39491393681444215
165,"cosper 368, fred","frantz 070, peter a",0.21631032225511182
167,wright transp inc,liquid transport inc,0.44843443363191415
169,foundation consultants,foundation for ca community colleges,0.5090479989078119
171,perry manufacturing sales,cates wholesale retail sales,0.3447637298751133
173,bia hca texas good government fund,tfrw iris fund,0.2946652345131713
175,sunnyvale historical society,union of american physicians & dentists medical dentists medical action committee,0.3212549461518641
177,bel air distributors inc,berley industries inc,0.37390635284486573
179,libca inc,kilohana lighting inc,0.3043814547270333
181,mcgrath smith & co inc,smith galloway lyndall & futch,0.43283009459032257
183,friends of robert mijac,friends of marc brown,0.5668175835259165
185,wallingford eye care center,central park surgery center lp,0.4204953505144232
187,boardwalk development inc,camino real business development ltd,0.49442240040002844
189,pamela e carlson od faao llc,e c otillio llc,0.3951788888143034
191,john r sutton & associates pa,barnhart & associates,0.4915331324479043
193,linebarger goggan blair penna & simpson,"simon m aval, esq a professional law corp",0.30429466889261547
195,dairymen of america,union of american physicians & dentists medical dentists medical action committee,0.40492149171649083
197,"simon m aval, esq a professional law corp",virginia rest eqp sup corp,0.3265799323102505
199,"bancou segal, marielle","benton lll, jess e",0.2576810307449121
