fuzzscore,amicus,bonica,match
87,maine education association,washoe education association,0
90,washington education association,washoe education association,0
91,idaho education association,washoe education association,0
87,west virginia coal association,west virginia car dealers association,0
86,american academy of family physicians,virginia academy of family physicians,0
86,northwest grocery association,nw grocery association,1
90,pala band of mission indians,29 palms band of mission indians,0
96,international union of operating engineers,international unit of operating engineers,1
87,church world,church ford,0
87,itt corporation,tiw corporation,0
87,florida home builders association,hba home builders association,0
92,ohio home builders association,hba home builders association,0
97,lumbermens association of texas,lumbermans association of texas,1
97,bf goodrich company,b f goodrich company,1
88,att services inc,a g services inc,0
87,law offices of richard b fields,law offices of richard lippes,0
86,center for civic responsibility,community for civic responsibility,0
89,ensco international inc,yans international inc,0
91,iowa manufacturers association,va manufactures association,0
92,nevada manufacturers association,va manufactures association,0
92,telecommunications industry association,telecommunications industry assoc,1
88,boat people sos,boat people sos inc,1
96,california association of hospitals and health systems,california association of hospitals & health systems,1
86,omega communications inc,one call communications inc,0
87,journal communications inc,one call communications inc,0
87,american academy of family physicians,texas academy of family physicians,0
89,armco incorporated,satco incorporated,0
92,asarco incorporated,satco incorporated,0
93,mci communications inc,sc communications inc,0
98,sbc communications inc,sc communications inc,0
91,fedex corporation,eyde corporation,0
86,ldds communications inc,el dorado communications inc,0
87,stb enterprises inc,mlms enterprises inc,0
86,beauty enterprises inc,beerkt enterprises inc,0
86,national association of insurance companies,national association of bail insurance co,0
90,eastern associated coal corp,eastern associated coal,1
91,national association of insurance brokers,national assoc of insurance broker,1
86,knights of columbus,knights of columbus 12055,1
86,national club association,national apt association,0
90,national autism association,national apt association,0
86,seagate technology inc,steel technology inc,0
87,gaf corporation,g e corporation,0
88,amgen corporation,g e corporation,0
86,clarion corp of america,radon corp of america,0
92,mds communications corporation,woods communication corporation,0
88,aetna life insurance co,aetna insurance co,1
91,operating engineers union local no 3,operating engineers local no 3,1
89,cox enterprises inc,wce enterprises inc,0
92,washington state bar association,washington stateacy association,0
95,pfizer inc,pfzer inc,1
87,ids financial services inc,hansen financial services inc,0
88,texas association of business,"texas association of builders,",0
98,texas association of builders,"texas association of builders,",1
91,united egg producers inc,united producers inc,0
87,oci international inc,sbrocco international inc,0
88,ensco international inc,sbrocco international inc,0
90,abbott laboratories inc,abbott laboratories,1
86,npr inc,nrg inc,0
89,augusta chronicle,the augusta chronicle,1
86,napco international inc,"dynamic international, inc",0
87,afscme international,a med international,0
87,new hampshire pediatric society,new hampshire medical society,0
86,dmw llc,emw llc,0
88,htc corp,hcn corp,0
86,dreyfus corporation,madyus corporation,0
88,made corporation,madyus corporation,0
86,cbs inc,lcs inc,0
86,detroit police officers association,westminster police officers association,0
87,american civil liberties union foundation of san diego and imperial counties,american civil liberties union aclu san diego & imperial counties,1
92,american civil liberties union of san diego and imperial counties,american civil liberties union aclu san diego & imperial counties,1
88,iowa bar association,iowa pork association,0
87,cox enterprises inc,lote enterprises inc,0
86,armco incorporated,pace incorporated,0
89,florida hospital association,idaho hospital association,0
86,atlantic mutual insurance company,fulmont mutual insurance company,0
86,united hias service inc,united health services inc,0
89,american chiropractic association,maine chiropractic association,0
86,foreign trade association of southern california,hospital association of southern california,0
88,duke power company,ky power company,0
91,pepsi bottling group inc,"the pepsi bottling group, inc",1
89,pawnee nation of oklahoma,kaw nation of oklahoma,0
88,south carolina nurses association,south carolina builders association,0
89,south carolina landowners association,south carolina builders association,0
88,aca international,ecc international,0
86,lutheran education association,dexter education association,0
96,qualcomm inc,qual comm inc,1
96,united artists theater circuit inc,"united artists theatre circuit, inc",1
90,oci international inc,acg international inc,0
91,napco international inc,acg international inc,0
93,oci international inc,si international inc,0
87,univ of southern california,lkq of southern california,0
88,cox media group inc,media group inc,0
94,american occupational therapy association,american occupational therapy association aota,1
86,cox enterprises inc,coleman enterprises inc,0
89,donlan enterprises inc,coleman enterprises inc,0
87,beauty enterprises inc,blue jay enterprises inc,0
87,iowa broadcasters association,nm broadcaster association,0
88,kansas broadcasters association,nm broadcaster association,0
98,vietnam veterans of america,vietnam veterns of america,1
87,day enterprises,jaz enterprises,0
86,tonka corporation,conway corporation,0
88,sony corporation,conway corporation,0
87,tunica-biloxi tribe of louisiana,tunica biloxi indian tribe of louisiana,1
88,freedom communications,freedom force communications,0
86,westboro baptist church,west marion baptist church,0
88,tabc inc,otac inc,0
88,ids financial services inc,jal financial services inc,0
86,mci communications inc,lbr communications inc,0
89,ldds communications inc,lbr communications inc,0
91,sbc communications inc,lbr communications inc,0
86,monroe county chamber of commerce,cecil county chamber of commerce,0
89,cox enterprises inc,mcm enterprises inc,0
90,salvors inc,savor inc,0
95,mortgage bankers association,or mortgage bankers association,0
91,liberty mutual group,liberty mutual group inc,1
88,htc corp,htg corp,0
99,columbia river fishermen's protective union,columbia river fishermens protective union,1
90,granite construction co,granite constuction,1
92,sacramento county deputy sheriffs association,sacramento county deputy sheriff s assoc,1
90,stb enterprises inc,swint enterprises inc,0
86,manufacturers hanover trust co,manufacturers hanover corp,1
98,prairie island indian community,prarie island indian community,1
94,coca-cola enterprises inc,"coca cola enterprises inc,",1
88,national association of social workers new york city chapter,national association of social workers florida chapter,0
93,national association of social workers louisiana chapter,national association of social workers florida chapter,0
94,national association of social workers california chapter,national association of social workers florida chapter,0
88,allegan area chamber of commerce,saginaw area chamber of commerce,0
91,arkansas state chamber of commerce,alaska state chamber of commerce,0
86,american podiatric medical association,louisiana podiatric medical association,0
95,california rifle and pistol association,california rifle & pistol association,1
89,national association of minority contractors,texas association of minority contractors,0
86,salt river valley water users association,salt river valley water users assn pic,1
88,k-n enterprises,eakin enterprises,0
99,agua caliente band of cahuilla indians,agua caliente band of cahilla indians,1
92,ids financial services inc,dcm financial services inc,0
87,sprint corp,sapient corp,0
90,american federation of state county and municipal employees,"am federation of state, county & municipal employees",1
89,oak industries inc,"lake industries, inc",0
86,southern coalition for social justice,coalition for social justice,0
87,stb enterprises inc,ting enterprises inc,0
91,national association of stu,national association of postal,0
88,minnesota state bar association,iowa state bar association,0
92,ohio state bar association,iowa state bar association,0
95,national stone sand and gravel association,national stone sand & gravel association,1
87,maine education association,warren education association,0
88,arizona education association,warren education association,0
89,oregon education association,warren education association,0
89,michigan regional council of carpenters,hawa regional council of carpenters,0
89,national association of realtors,maine association of realtors,0
89,csx transportation inc,camp transportation inc,0
88,transamerica corp,teramerica corp,0
89,minnesota broadcasters association,minnesota grocers association,0
96,howard jarvis taxpayers association,howard jarvis taxpayer assoication,1
88,kmart corporation,mylar corporation,0
