0,1,match
jpmorgan chase bank na,jp morgan chase - pac,1
jpmorgan chase bank na,"jp morgan & co, inc pac",1
jpmorgan chase bank na,jp morgan pac,1
jpmorgan chase bank na,"jp morgan chase & co, pac",1
jpmorgan chase bank na,jp morgan chase & co state & fed pac,1
jpmorgan chase bank na,"pac, jp morgan chase & co",1
jpmorgan chase bank na,jp morgan morgan guarantee trust,1
jpmorgan chase bank na,jp morgan chase & co,1
jpmorgan chase bank na,jp morgan chase,1
jpmorgan chase bank na,jp morgan services inc,1
jpmorgan chase bank na,jp morgan chase & company,1
jpmorgan chase bank na,j p morgan chase & co. fund for good government texas,1
jpmorgan chase bank na,jp morgan fleming asset mangement usa inc,1
jpmorgan chase bank na,jp morgan chase inc,1
jpmorgan chase bank na,"jp morgan chase, pac",1
jpmorgan chase bank na,jp morgan chase & co state & federal pac,1
jpmorgan chase bank na,chase bank,1
jpmorgan chase bank na,banc one political action committee,1
jpmorgan chase bank na,jp morgan chase & co state & federal political act,1
jpmorgan chase bank na,jp morgan fleming asset management usa inc,1
jpmorgan chase bank na,"jpmorgan chase & co, pac",1
jpmorgan chase bank na,jp morgan futures inc,1
jpmorgan chase bank na,jp morgan partners llc,1
jpmorgan chase bank na,chase,1
jpmorgan chase bank na,jp morgan & chase pac,1
jpmorgan chase bank na,morgan companies political action comittee,1
jpmorgan chase bank na,jp morgan fleming asset management holdings inc,1
jpmorgan chase bank na,jp morgan chase & comp,1
jpmorgan chase bank na,jp morgan chase & co state & fedl pac,1
jpmorgan chase bank na,jp morgan chase & co political action committee,1
jpmorgan chase bank na,jp morgan chase & copac,1
jpmorgan chase bank na,"jp morgan partners, llc",1
jpmorgan chase bank na,jp morgan & company pac,1
jpmorgan chase bank na,jp morgan chase bank pac,1
jpmorgan chase bank na,jp morgan chase & co - pac,1
jpmorgan chase bank na,"jp morgan chase & co, state & federal pac",1
jpmorgan chase bank na,jp morgan chase & co pac,1
jpmorgan chase bank na,jp morgan chace & co pac,1
jpmorgan chase bank na,jp morgan chase & costate & federal pac,1
jpmorgan chase bank na,jp morgan - chase co pac,1
jpmorgan chase bank na,jp morgan trust company of delaware,1
jpmorgan chase bank na,jp morgan chase & company pac,1
jpmorgan chase bank na,jp morgan chase national corp services inc,1
jpmorgan chase bank na,jp morgan chase co state & federal pac,1
jpmorgan chase bank na,jpmorgan chase & co state amd federal,1
jpmorgan chase bank na,jp morgan & co pac,1
jpmorgan chase bank na,j p morgan chase & co,1
jpmorgan chase bank na,jp morgan morgan gaurantee trust,1
jpmorgan chase bank na,jp morgan chase pac c00003830,1
jpmorgan chase bank na,jpmorgan chase &co pac,1
jpmorgan chase bank na,jp morgan partners,1
jpmorgan chase bank na,"jp morgan chase & co, statefederal pac",1
jpmorgan chase bank na,jp morgan business credit corp,1
jpmorgan chase bank na,jp morgan chase & co pac colo,1
jpmorgan chase bank na,jp morgan state & federal pac,1
jpmorgan chase bank na,jp morgan chase state & federal pac,1
jpmorgan chase bank na,jp morgan chase & co federal pa,1
jpmorgan chase bank na,jpmorgan chase co state & federal pac,1
jpmorgan chase bank na,jp morgan & co,1
jpmorgan chase bank na,j p morgan chase & co statefederal pac,1
jpmorgan chase bank na,jp morgan h & q,1
jpmorgan chase bank na,jp morgana chase & co pac,1
jpmorgan chase bank na,jpmorgan chase bank,1
jpmorgan chase bank na,jpmorgan chase & copac,1
jpmorgan chase bank na,jp morgan cahse & co pac,1
jpmorgan chase bank na,jp morgan chase statefed pac,1
jpmorgan chase bank na,jp morgan investor services co,1
jpmorgan chase bank na,"jp morgan, chase & co, pac",1
jpmorgan chase bank na,jp morgan chase & co st & fed pac,1
jpmorgan chase bank na,jp morgan chase corp,1
jpmorgan chase bank na,jp morgan morgan gaurantee trust c,1
jpmorgan chase bank na,jp morgan treasury technologies corp,1
jpmorgan chase bank na,jp morgan fleming asset management,1
jpmorgan chase bank na,jpmorgan chase pac,1
jpmorgan chase bank na,jp morgan chase & co federal political action committee pac-,1
jpmorgan chase bank na,jp morgan chase co pac,1
jpmorgan chase bank na,jp morgan investment management inc,1
jpmorgan chase bank na,jp morgan chase & comp pac,1
jpmorgan chase bank na,jp morgan chase state & fed pac,1
jpmorgan chase bank na,jp morgan chase pac,1
jpmorgan chase bank na,jp morgan chase &co pac,1
jpmorgan chase bank na,jpmorgan chase & co pac,1
jpmorgan chase bank na,j p morgan chase & co pac,1
jpmorgan chase bank na,"jp morgan chase& co, state & fed pac",1
jpmorgan chase bank na,jp morgan securities,1
jpmorgan chase bank na,jp morgan chase & co- pac,1
jpmorgan chase bank na,jp morgan,1
jpmorgan chase bank na,jp morgan securities inc,1
jpmorgan chase bank na,jp morgan chase securities inc conference,1
jpmorgan chase bank na,jp morgan property exchange inc,1
jpmorgan chase bank na,jp morgan chase national corporate services inc,1
jpmorgan chase bank na,jp morgan chase co - pac,1
jpmorgan chase bank na,jp morgan trust co of delaware,1
jpmorgan chase bank na,jp morgan chase & co pal,1
jpmorgan chase bank na,jp morgan chase bank,1
jpmorgan chase bank na,jp morgan chase 7 co,1
jpmorgan chase bank na,"jp morgan securities, inc",1
investment company institute,investment company institute pac,1
investment company institute,investment management political action cmte of the investment company institute impac,1
investment company institute,investment company institute,1
investment company institute,investment company institute polit,1
motion picture association of america,motion picture association of america,1
motion picture association of america,motion picture assn,1
motion picture association of america,motion picture association of amer,1
motion picture association of america,"motion picture association of america, inc",1
motion picture association of america,motion picture association pac,1
motion picture association of america,motion picture association political action committee,1
motion picture association of america,motion picture association,1
consumer federation of america,consumer federation of america:political action committee,1
united electrical,united electrical radio and machine workers of america u e local 1111 pac,1
international council of shopping centers,international council of shopping centers,1
international council of shopping centers,international council of shopping centers inc political action committee icsc pac,1
international council of shopping centers,intl council of shopping centers p,1
national electrical manufacturers association,nema,1
national electrical manufacturers association,national electrical manufacturers association political action committee nema pac,1
american psychiatric association,american psychiatric association,1
american psychiatric association,american psychiatric association political action committee,1
national organization for the reform of marijuana laws,national organization for the reform of marijuana laws political action committee,1
california medical association,california medical association pac calpac,1
california medical association,california medical association,1
national association of social workers,national association of social workers new york city,1
national association of social workers,national association of social workers pac,1
national association of social workers,"nasw, nyc pace",1
national association of social workers,nasw nyc chapter pace,1
national association of social workers,nyc pac,1
national association of social workers,national association of social worker pac,1
national association of social workers,national association of social workers,1
national association of social workers,new york city chapter of national association of social workers,1
national association of social workers,nyc pace,1
association of american publishers,calpac association of american publishers,1
association of american publishers,"association of american publishers, inc",1
association of american publishers,association of american publishers,1
national association of homebuilders,national association of home builders,1
defenders of wildlife,defenders of wildlife,1
american bankers association,american bankers assn,1
national association of counties,national association of counties,1
united auto workers,united brotherhood of carpenters,1
national education association,national education association nea,1
national education association,national education association,1
national education association,national education association pac,1
national education association,national education association,1
national education association,national education assn,1
monsanto co,monsanto company,1
johnson and johnson,johnson & johnson corporate,1
american medical association,american medical assn,1
screen actors guild,screen actors guild,1
american association of retired persons,american association of retired persons,1
common cause,common cause,1
salt river project agricultural improvement and power district,salt river project pac,1
national association of broadcasters inc,national association of broadcaste,1
national association of broadcasters inc,national association of broadcasters televison & radio political action committee,1
national association of broadcasters inc,national association of broadcasters pac,1
national association of broadcasters inc,national association of broadcasters,1
national association of broadcasters inc,national association of broadcasters television & radio political action committee,1
national association of broadcasters inc,television & radio pac,1
recording industry association of america,"recording industry assoc of america, inc",1
recording industry association of america,recording industry assoc of america,1
recording industry association of america,recording industry assoc of americ,1
recording industry association of america,recording industry assoc of america inc,1
american institute of certified public accountants,american institute of certified public accountants,1
general electric co,general electric,1
american public power association,american public power association public ownership,1
american civil liberties union of illinois,american civil liberties union,1
american civil liberties union of northern california,american civil liberties union,1
american civil liberties union foundation of southern california,american civil liberties union,1
american civil liberties union of colorado,american civil liberties union,1
american civil liberties union,american civil liberties union,1
american civil liberties union of southern california,american civil liberties union,1
american civil liberties union of pennsylvania,american civil liberties union,1
american hotel and lodging association,american hotel & lodging associa,1
securities industries association,securities industries assoc,1
trout unlimited inc,trout unlimited bellevue-issaquah chapte,1
national council of jewish women,national council jewish women austin section,1
national association of manufacturers,national assoc of mfgs suite 1500,1
national association of theater owners,national association of theatre owners of canevada,1
national association for the advancement of colored people,naacp co op city branch,1
friends of the earth,friends of the earth action pac,1
ei dupont de nemours and co,ei du pont de nemours & co,1
edison electric institute,edison electric institute-eei,1
council of state governments,council of state govt,1
council of state governments,council of state government,1
associated general contractors of america,assoc gen contractors of america,1
american telephone and telegraph,american telephone & telegraph,1
americans united for separation of church and state,americans united for separation of church & state,1
american jewish committee,american jewish cmte,1
american jewish congress,american jewis congress st louis region,1
american federation of television and radio artists american federation of labor and congress of industrial organizations,american federation of tv & radio artists,1
american federation of labor and congress of industrial organizations,american federation of labor & c,1
american federation of government employees american federation of labor and congress of industrial organizations,american federation of gov emp,1
american ethical union,"american ethicare, inc",1
american ethical union,american ethicare,1
american association of university professors,american association of university professors,1
american jewish committee,american jewish cmte,1
american medical womens association,american medical womens assn,1
anti-defamation league,anti defamation league,1
anti-defamation league b'nai b'rith,anti defamation league,1
coalition of 100 black women,national coalition of 100 black women,1
family planning association of maine,family planning associates of maine,1
