,0,1,Match,prediction
0,vietnam veterans of america,vietnam veterans of america,1,1
1,vietnam veterans of america,american family association inc,0,0
2,vietnam veterans of america,the san francisco aids foundation,0,0
3,vietnam veterans of america,americans united for separation of church & state,0,0
4,vietnam veterans of america,"planned parenthood,",0,0
5,vietnam veterans of america,american federation of state county and municipal employees,0,0
6,vietnam veterans of america,winstar communications llc,0,0
7,vietnam veterans of america,JPMORGAN CHASE BANK NA,0,0
8,vietnam veterans of america,planned parenthood federation of america,0,0
9,vietnam veterans of america,common cause,0,0
10,vietnam veterans of america,lutherans concerned north america,0,1
11,vietnam veterans of america,aphilip randolph institute,0,0
12,vietnam veterans of america,council of state government,0,0
13,vietnam veterans of america,california bankers association,0,0
14,vietnam veterans of america,public affairs council,0,0
15,vietnam veterans of america,NATIONAL EDUCATION ASSOCIATION,0,0
16,vietnam veterans of america,san francisco aids foundation,0,0
17,vietnam veterans of america,"american ethicare, inc",0,0
18,vietnam veterans of america,pepsi bottling group inc,0,0
19,vietnam veterans of america,califoria teachers association,0,0
20,vietnam veterans of america,agua claiente band of cahuilla indians,0,0
21,vietnam veterans of america,agua caliente band of cahuilla indians,0,0
22,vietnam veterans of america,planned parenthood federation of america inc,0,0
23,vietnam veterans of america,sheet metal workers international assoc pal,0,0
24,vietnam veterans of america,coalition of 100 black women,0,0
25,vietnam veterans of america,pifizer inc,0,0
26,vietnam veterans of america,national education association,0,0
27,vietnam veterans of america,national association for the advancement of colored people legal defense and educational fund inc,0,1
28,vietnam veterans of america,sheet metal workers international association,0,0
29,vietnam veterans of america,california teachers assoc,0,0
30,vietnam veterans of america,national association of independent insurance,0,0
31,vietnam veterans of america,trout unlimited bellevue-issaquah chapte,0,0
32,vietnam veterans of america,the augusta chronicle,0,0
33,vietnam veterans of america,national association of independent insurers,0,0
34,vietnam veterans of america,california bankers assoc,0,0
35,vietnam veterans of america,american consulting engineers council,0,0
36,vietnam veterans of america,cadwalader wickersham  taft,0,0
37,vietnam veterans of america,NATIONAL ASSOCIATION OF SOCIAL WORKERS,0,0
38,vietnam veterans of america,american civil liberties union,0,0
39,vietnam veterans of america,vietnam veterns of america,1,1
40,vietnam veterans of america,georgia real estate investors association inc,0,0
41,vietnam veterans of america,campaign for tobacco free kids,0,0
42,vietnam veterans of america,att services inc,0,0
43,vietnam veterans of america,"the pepsi bottling group, inc",0,0
44,vietnam veterans of america,national association for the advancement of colored people,0,0
45,vietnam veterans of america,american consulting engineers coun,0,0
46,vietnam veterans of america,naral pro choice oregon,0,0
47,vietnam veterans of america,augusta chronicle,0,0
48,vietnam veterans of america,winstar communications inc,0,0
49,vietnam veterans of america,national association of chairug stores,0,0
50,vietnam veterans of america,at&t services inc,0,0
51,vietnam veterans of america,national coalition of 100 black women,0,0
52,vietnam veterans of america,campaign for tobacco-free kids,0,0
53,vietnam veterans of america,dell computers corp,0,0
54,vietnam veterans of america,dell computer corp,0,0
55,vietnam veterans of america,pfizer inc,0,0
56,vietnam veterans of america,natl automatic merchandising assoc,0,0
57,vietnam veterans of america,lutherans concerned,0,0
58,vietnam veterans of america,cadwalader wickersham & taft llp,0,0
59,vietnam veterans of america,naral pro-choice oreogn,0,0
60,vietnam veterans of america,william morris agency inc,0,0
61,american family association inc,vietnam veterans of america,0,0
62,american family association inc,american family association inc,1,1
63,american family association inc,the san francisco aids foundation,0,0
64,american family association inc,americans united for separation of church & state,0,0
65,american family association inc,"planned parenthood,",0,0
66,american family association inc,american federation of state county and municipal employees,0,0
67,american family association inc,winstar communications llc,0,0
68,american family association inc,JPMORGAN CHASE BANK NA,0,0
69,american family association inc,planned parenthood federation of america,0,0
70,american family association inc,common cause,0,0
71,american family association inc,lutherans concerned north america,0,0
72,american family association inc,aphilip randolph institute,0,0
73,american family association inc,council of state government,0,0
74,american family association inc,california bankers association,0,0
75,american family association inc,public affairs council,0,0
76,american family association inc,NATIONAL EDUCATION ASSOCIATION,0,0
77,american family association inc,san francisco aids foundation,0,0
78,american family association inc,"american ethicare, inc",0,1
79,american family association inc,pepsi bottling group inc,0,0
80,american family association inc,califoria teachers association,0,1
81,american family association inc,agua claiente band of cahuilla indians,0,0
82,american family association inc,agua caliente band of cahuilla indians,0,0
83,american family association inc,planned parenthood federation of america inc,0,0
84,american family association inc,sheet metal workers international assoc pal,0,0
85,american family association inc,coalition of 100 black women,0,0
86,american family association inc,pifizer inc,0,0
87,american family association inc,national education association,0,0
88,american family association inc,national association for the advancement of colored people legal defense and educational fund inc,0,0
89,american family association inc,sheet metal workers international association,0,0
90,american family association inc,california teachers assoc,0,0
91,american family association inc,national association of independent insurance,0,0
92,american family association inc,trout unlimited bellevue-issaquah chapte,0,0
93,american family association inc,the augusta chronicle,0,0
94,american family association inc,national association of independent insurers,0,0
95,american family association inc,california bankers assoc,0,0
96,american family association inc,american consulting engineers council,0,0
97,american family association inc,cadwalader wickersham  taft,0,0
98,american family association inc,NATIONAL ASSOCIATION OF SOCIAL WORKERS,0,0
99,american family association inc,american civil liberties union,0,0
100,american family association inc,vietnam veterns of america,0,0
101,american family association inc,georgia real estate investors association inc,0,0
102,american family association inc,campaign for tobacco free kids,0,0
103,american family association inc,att services inc,0,0
104,american family association inc,"the pepsi bottling group, inc",0,0
105,american family association inc,national association for the advancement of colored people,0,0
106,american family association inc,american consulting engineers coun,0,0
107,american family association inc,naral pro choice oregon,0,0
108,american family association inc,augusta chronicle,0,0
109,american family association inc,winstar communications inc,0,0
110,american family association inc,national association of chairug stores,0,0
111,american family association inc,at&t services inc,0,0
112,american family association inc,national coalition of 100 black women,0,0
113,american family association inc,campaign for tobacco-free kids,0,0
114,american family association inc,dell computers corp,0,0
115,american family association inc,dell computer corp,0,0
116,american family association inc,pfizer inc,0,0
117,american family association inc,natl automatic merchandising assoc,0,0
118,american family association inc,lutherans concerned,0,0
119,american family association inc,cadwalader wickersham & taft llp,0,0
120,american family association inc,naral pro-choice oreogn,0,0
121,american family association inc,william morris agency inc,0,0
122,the san francisco aids foundation,vietnam veterans of america,0,0
123,the san francisco aids foundation,american family association inc,0,0
124,the san francisco aids foundation,the san francisco aids foundation,1,1
125,the san francisco aids foundation,americans united for separation of church & state,0,0
126,the san francisco aids foundation,"planned parenthood,",0,0
127,the san francisco aids foundation,american federation of state county and municipal employees,0,0
128,the san francisco aids foundation,winstar communications llc,0,0
129,the san francisco aids foundation,JPMORGAN CHASE BANK NA,0,0
130,the san francisco aids foundation,planned parenthood federation of america,0,0
131,the san francisco aids foundation,common cause,0,0
132,the san francisco aids foundation,lutherans concerned north america,0,0
133,the san francisco aids foundation,aphilip randolph institute,0,0
134,the san francisco aids foundation,council of state government,0,0
135,the san francisco aids foundation,california bankers association,0,0
136,the san francisco aids foundation,public affairs council,0,0
137,the san francisco aids foundation,NATIONAL EDUCATION ASSOCIATION,0,0
138,the san francisco aids foundation,san francisco aids foundation,1,1
139,the san francisco aids foundation,"american ethicare, inc",0,0
140,the san francisco aids foundation,pepsi bottling group inc,0,0
141,the san francisco aids foundation,califoria teachers association,0,0
142,the san francisco aids foundation,agua claiente band of cahuilla indians,0,0
