,amicus,bonica,match
0,jpmorgan chase bank na,jp morgan chase - pac,1
1,jpmorgan chase bank na,"jp morgan & co, inc pac",1
2,jpmorgan chase bank na,jp morgan pac,1
3,jpmorgan chase bank na,"jp morgan chase & co, pac",1
4,jpmorgan chase bank na,jp morgan chase & co state & fed pac,1
5,jpmorgan chase bank na,"pac, jp morgan chase & co",1
6,jpmorgan chase bank na,jp morgan morgan guarantee trust,1
7,jpmorgan chase bank na,jp morgan chase & co,1
8,jpmorgan chase bank na,jp morgan chase,1
9,jpmorgan chase bank na,jp morgan services inc,1
10,jpmorgan chase bank na,jp morgan chase & company,1
11,jpmorgan chase bank na,j p morgan chase & co. fund for good government texas,1
12,jpmorgan chase bank na,jp morgan fleming asset mangement usa inc,1
13,jpmorgan chase bank na,jp morgan chase inc,1
14,jpmorgan chase bank na,"jp morgan chase, pac",1
15,jpmorgan chase bank na,jp morgan chase & co state & federal pac,1
16,jpmorgan chase bank na,chase bank,1
17,jpmorgan chase bank na,banc one political action committee,1
18,jpmorgan chase bank na,jp morgan chase & co state & federal political act,1
19,jpmorgan chase bank na,jp morgan fleming asset management usa inc,1
20,jpmorgan chase bank na,"jpmorgan chase & co, pac",1
21,jpmorgan chase bank na,jp morgan futures inc,1
22,jpmorgan chase bank na,jp morgan partners llc,1
23,jpmorgan chase bank na,chase,1
24,jpmorgan chase bank na,jp morgan & chase pac,1
25,jpmorgan chase bank na,morgan companies political action comittee,1
26,jpmorgan chase bank na,jp morgan fleming asset management holdings inc,1
27,jpmorgan chase bank na,jp morgan chase & comp,1
28,jpmorgan chase bank na,jp morgan chase & co state & fedl pac,1
29,jpmorgan chase bank na,jp morgan chase & co political action committee,1
30,jpmorgan chase bank na,jp morgan chase & copac,1
31,jpmorgan chase bank na,"jp morgan partners, llc",1
32,jpmorgan chase bank na,jp morgan & company pac,1
33,jpmorgan chase bank na,jp morgan chase bank pac,1
34,jpmorgan chase bank na,jp morgan chase & co - pac,1
35,jpmorgan chase bank na,"jp morgan chase & co, state & federal pac",1
36,jpmorgan chase bank na,jp morgan chase & co pac,1
37,jpmorgan chase bank na,jp morgan chace & co pac,1
38,jpmorgan chase bank na,jp morgan chase & costate & federal pac,1
39,jpmorgan chase bank na,jp morgan - chase co pac,1
40,jpmorgan chase bank na,jp morgan trust company of delaware,1
41,jpmorgan chase bank na,jp morgan chase & company pac,1
42,jpmorgan chase bank na,jp morgan chase national corp services inc,1
43,jpmorgan chase bank na,jp morgan chase co state & federal pac,1
44,jpmorgan chase bank na,jpmorgan chase & co state amd federal,1
45,jpmorgan chase bank na,jp morgan & co pac,1
46,jpmorgan chase bank na,j p morgan chase & co,1
47,jpmorgan chase bank na,jp morgan morgan gaurantee trust,1
48,jpmorgan chase bank na,jp morgan chase pac c00003830,1
49,jpmorgan chase bank na,jpmorgan chase &co pac,1
50,jpmorgan chase bank na,jp morgan partners,1
51,jpmorgan chase bank na,"jp morgan chase & co, statefederal pac",1
52,jpmorgan chase bank na,jp morgan business credit corp,1
53,jpmorgan chase bank na,jp morgan chase & co pac colo,1
54,jpmorgan chase bank na,jp morgan state & federal pac,1
55,jpmorgan chase bank na,jp morgan chase state & federal pac,1
56,jpmorgan chase bank na,jp morgan chase & co federal pa,1
57,jpmorgan chase bank na,jpmorgan chase co state & federal pac,1
58,jpmorgan chase bank na,jp morgan & co,1
59,jpmorgan chase bank na,j p morgan chase & co statefederal pac,1
