"","amicus","bonica","match"
"1","JPMORGAN CHASE BANK NA","jp morgan chase - pac",1
"2","JPMORGAN CHASE BANK NA","jp morgan & co, inc pac",1
"3","JPMORGAN CHASE BANK NA","jp morgan pac",1
"4","JPMORGAN CHASE BANK NA","jp morgan chase & co, pac",1
"5","JPMORGAN CHASE BANK NA","jp morgan chase & co state & fed pac",1
"6","JPMORGAN CHASE BANK NA","pac, jp morgan chase & co",1
"7","JPMORGAN CHASE BANK NA","jp morgan morgan guarantee trust",1
"8","JPMORGAN CHASE BANK NA","jp morgan chase & co",1
"9","JPMORGAN CHASE BANK NA","jp morgan chase",1
"10","JPMORGAN CHASE BANK NA","jp morgan services inc",1
"11","JPMORGAN CHASE BANK NA","jp morgan chase & company",1
"12","JPMORGAN CHASE BANK NA","J P MORGAN CHASE & CO. FUND FOR GOOD GOVERNMENT TEXAS",1
"13","JPMORGAN CHASE BANK NA","jp morgan fleming asset mangement usa inc",1
"14","JPMORGAN CHASE BANK NA","jp morgan chase inc",1
"15","JPMORGAN CHASE BANK NA","jp morgan chase, pac",1
"16","JPMORGAN CHASE BANK NA","jp morgan chase & co state & federal pac",1
"17","JPMORGAN CHASE BANK NA","chase bank",1
"18","JPMORGAN CHASE BANK NA","BANC ONE POLITICAL ACTION COMMITTEE",1
"19","JPMORGAN CHASE BANK NA","jp morgan chase & co state & federal political act",1
"20","JPMORGAN CHASE BANK NA","jp morgan fleming asset management usa inc",1
"21","JPMORGAN CHASE BANK NA","jpmorgan chase & co, pac",1
"22","JPMORGAN CHASE BANK NA","jp morgan futures inc",1
"23","JPMORGAN CHASE BANK NA","jp morgan partners llc",1
"24","JPMORGAN CHASE BANK NA","chase",1
"25","JPMORGAN CHASE BANK NA","jp morgan & chase pac",1
"26","JPMORGAN CHASE BANK NA","MORGAN COMPANIES POLITICAL ACTION COMITTEE",1
"27","JPMORGAN CHASE BANK NA","jp morgan fleming asset management holdings inc",1
"28","JPMORGAN CHASE BANK NA","jp morgan chase & comp",1
"29","JPMORGAN CHASE BANK NA","jp morgan chase & co state & fedl pac",1
"30","JPMORGAN CHASE BANK NA","jp morgan chase & co political action committee",1
"31","JPMORGAN CHASE BANK NA","jp morgan chase & copac",1
"32","JPMORGAN CHASE BANK NA","jp morgan partners, llc",1
"33","JPMORGAN CHASE BANK NA","jp morgan & company pac",1
"34","JPMORGAN CHASE BANK NA","jp morgan chase bank pac",1
"35","JPMORGAN CHASE BANK NA","jp morgan chase & co - pac",1
"36","JPMORGAN CHASE BANK NA","jp morgan chase & co, state & federal pac",1
"37","JPMORGAN CHASE BANK NA","jp morgan chase & co pac",1
"38","JPMORGAN CHASE BANK NA","jp morgan chace & co pac",1
"39","JPMORGAN CHASE BANK NA","jp morgan chase & costate & federal pac",1
"40","JPMORGAN CHASE BANK NA","jp morgan - chase co pac",1
"41","JPMORGAN CHASE BANK NA","jp morgan trust company of delaware",1
"42","JPMORGAN CHASE BANK NA","jp morgan chase & company pac",1
"43","JPMORGAN CHASE BANK NA","jp morgan chase national corp services inc",1
"44","JPMORGAN CHASE BANK NA","jp morgan chase co state & federal pac",1
"45","JPMORGAN CHASE BANK NA","jpmorgan chase & co state amd federal",1
"46","JPMORGAN CHASE BANK NA","jp morgan & co pac",1
"47","JPMORGAN CHASE BANK NA","j p morgan chase & co",1
"48","JPMORGAN CHASE BANK NA","jp morgan morgan gaurantee trust",1
"49","JPMORGAN CHASE BANK NA","jp morgan chase pac c00003830",1
"50","JPMORGAN CHASE BANK NA","jpmorgan chase &co pac",1
"51","JPMORGAN CHASE BANK NA","jp morgan partners",1
"52","JPMORGAN CHASE BANK NA","jp morgan chase & co, statefederal pac",1
"53","JPMORGAN CHASE BANK NA","jp morgan business credit corp",1
"54","JPMORGAN CHASE BANK NA","jp morgan chase & co pac colo",1
"55","JPMORGAN CHASE BANK NA","jp morgan state & federal pac",1
"56","JPMORGAN CHASE BANK NA","jp morgan chase state & federal pac",1
"57","JPMORGAN CHASE BANK NA","jp morgan chase & co federal pa",1
"58","JPMORGAN CHASE BANK NA","jpmorgan chase co state & federal pac",1
"59","JPMORGAN CHASE BANK NA","jp morgan & co",1
"60","JPMORGAN CHASE BANK NA","j p morgan chase & co statefederal pac",1
"61","JPMORGAN CHASE BANK NA","jp morgan h & q",1
"62","JPMORGAN CHASE BANK NA","jp morgana chase & co pac",1
"63","JPMORGAN CHASE BANK NA","jpmorgan chase bank",1
"64","JPMORGAN CHASE BANK NA","jpmorgan chase & copac",1
"65","JPMORGAN CHASE BANK NA","jp morgan cahse & co pac",1
"66","JPMORGAN CHASE BANK NA","jp morgan chase statefed pac",1
"67","JPMORGAN CHASE BANK NA","jp morgan investor services co",1
